eventcode	 time	 stimulusID
7	 2.411334e+00	 5
9	 8.444520e+00	 5
9	 1.131111e+01	 5
9	 1.224445e+01	 5
9	 1.284439e+01	 5
8	 1.442744e+01	 5
7	 2.041073e+01	 25
9	 2.432762e+01	 25
9	 2.507760e+01	 25
9	 2.567743e+01	 25
9	 2.611079e+01	 25
8	 3.242720e+01	 25
7	 3.721098e+01	 8
9	 4.324386e+01	 8
9	 4.377721e+01	 8
9	 4.454390e+01	 8
9	 4.506053e+01	 8
8	 4.922704e+01	 8
7	 5.521071e+01	 26
9	 5.986036e+01	 26
9	 6.052703e+01	 26
9	 6.242700e+01	 26
9	 6.284368e+01	 26
8	 6.722684e+01	 26
7	 7.321069e+01	 35
9	 7.591061e+01	 35
9	 7.879389e+01	 35
9	 7.951055e+01	 35
9	 7.994379e+01	 35
8	 8.522669e+01	 35
7	 9.120988e+01	 36
9	 9.771023e+01	 36
9	 9.834334e+01	 36
9	 9.884336e+01	 36
9	 9.926008e+01	 36
8	 1.032264e+02	 36
7	 1.104099e+02	 22
9	 1.142430e+02	 22
9	 1.147096e+02	 22
9	 1.151763e+02	 22
9	 1.155429e+02	 22
8	 1.224261e+02	 22
7	 1.272096e+02	 27
9	 1.345593e+02	 27
9	 1.351926e+02	 27
9	 1.357593e+02	 27
9	 1.361260e+02	 27
8	 1.392259e+02	 27
7	 1.464096e+02	 7
9	 1.499594e+02	 7
9	 1.505258e+02	 7
9	 1.519759e+02	 7
9	 1.523425e+02	 7
8	 1.584257e+02	 7
7	 1.632090e+02	 32
9	 1.660756e+02	 32
9	 1.667925e+02	 32
9	 1.682756e+02	 32
9	 1.687256e+02	 32
8	 1.752255e+02	 32
7	 1.812089e+02	 17
9	 1.869587e+02	 17
9	 1.889256e+02	 17
9	 1.897420e+02	 17
9	 1.902922e+02	 17
8	 1.932253e+02	 17
7	 1.992089e+02	 2
9	 2.019422e+02	 2
9	 2.029252e+02	 2
9	 2.035252e+02	 2
9	 2.038919e+02	 2
8	 2.112250e+02	 2
7	 2.172086e+02	 28
