Stimuli Number	Event Number	Weighted Average Frequency (Hz)	Log2Scaled WAFrequency	PeakPower (dB)	PeakPower (B)	Angle
1		1		380.5895034			8.572091963		5.331235914	0.533123591	3.56
1		2		540.1719537			9.077274925		1.992803412	0.199280341	326.54
1	3	546.1012194	9.093024568	4.455807621	0.445580762	86.34
1	4	489.1157729	8.934032179	5.080317765	0.508031776	158.56
1	5	477.887813	8.900528166	3.588554632	0.358855463	257.34
2	1	610.6151369	9.254119544	5.207858691	0.520785869	3.22
2	2	568.8259709	9.151843525	3.725527631	0.372552763	235.4
2	3	638.9077229	9.319463768	1.796815546	0.179681555	310.99
2	4	517.8580508	9.016412887	2.139021314	0.213902131	173.56
2	5	451.3074717	8.817966853	4.238830632	0.423883063	133.38
3	1	864.0153511	9.754913135	1.515994773	0.151599477	0.89
3	2	1304.562557	10.34935041	-0.205703851	-0.020570385	343.85
3	3	1325.070108	10.37185298	-8.244043607	-0.824404361	271.6
3	4	1083.129747	10.08099036	-1.401386529	-0.140138653	113.03
3	5	1263.486963	10.30319506	-4.525969234	-0.452596923	305.42
4	1	992.4662478	9.954874229	0.468555027	0.046855503	0.27
4	2	860.9791503	9.749834491	2.162559349	0.216255935	140.44
4	3	1337.642541	10.38547692	-3.660315252	-0.366031525	317.51
4	4	1066.033972	10.0580377	1.035159381	0.103515938	124.89
4	5	1283.447332	10.32580838	-5.381136895	-0.538113689	292.65
5	1	813.5661148	9.668115782	9.778955718	0.977895572	5.78
5	2	809.9293544	9.661652265	6.47331189	0.647331189	268.88
5	3	787.0960043	9.620395806	3.08811824	0.308811824	263.05
5	4	683.6010419	9.417010786	3.299340824	0.329934082	174.07
5	5	875.8536307	9.774545982	9.256970788	0.925697079	59.03
6	1	872.8101826	9.769524123	9.774605925	0.977460593	5.71
6	2	885.5516771	9.790432689	9.955392453	0.995539245	40.85
6	3	875.202723	9.773473417	9.867589902	0.98675899	207.37
6	4	849.2216046	9.729997264	-6.633440052	-0.663344005	268.49
6	5	828.7935743	9.694869008	9.193388942	0.919338894	91.27
7	1	1011.177298	9.981820263	3.170567979	0.317056798	1.82
7	2	1138.716992	10.15319352	3.416784364	0.341678436	8.18
7	3	1397.907873	10.44905357	3.342540069	0.334254007	358.56
7	4	1065.34028	10.0570986	12.7949354	1.27949354	112.52
7	5	1141.199818	10.15633571	2.168222942	0.216822294	275.34
8	1	1008.428744	9.977893431	1.83455305	0.183455305	1.05
8	2	1117.620434	10.12621459	7.672381392	0.767238139	75.74
8	3	1280.351116	10.32232379	7.360429048	0.736042905	350.96
8	4	1361.645844	10.4111358	4.699735512	0.469973551	288.46
8	5	1167.958088	10.18977279	9.187662372	0.918766237	116.25
9	1	835.1265857	9.705851083	7.851470049	0.785147005	4.62
9	2	848.433042	9.728656997	3.673345803	0.36733458	273.12
9	3	1012.256783	9.983359595	8.075276479	0.807527648	59.95
9	4	1225.748359	10.25944711	5.861553839	0.586155384	321.28
9	5	865.6327859	9.757611332	13.93153407	1.393153407	121.88
10	1	859.7737798	9.747813303	1.379076582	0.137907658	0.81
10	2	905.9138253	9.823230011	8.021366649	0.802136665	83.52
10	3	1231.409907	10.26609537	5.837224669	0.583722467	333.75
10	4	967.1804462	9.917641267	0.570535077	0.057053508	236.51
10	5	868.466194	9.762325881	13.27939563	1.327939563	96.97
11	1	582.0800497	9.185073761	9.530001369	0.953000137	5.92
11	2	744.760658	9.540633054	5.272577297	0.52725773	309.87
11	3	650.0116661	9.344321801	9.695207237	0.969520724	113.94
11	4	589.3729328	9.203036995	13.52310229	1.352310229	110.26
11	5	632.5559368	9.305049253	8.906353324	0.890635332	282.46
12	1	665.9640467	9.379300483	8.683346021	0.868334602	5.29
12	2	875.1327103	9.773358002	3.870900496	0.38709005	309.31
12	3	698.4375602	9.447987335	5.440461627	0.544046163	154.25
12	4	868.6213993	9.762583685	6.009596698	0.60095967	10.25
12	5	736.1918153	9.5239379	8.177576101	0.81775761	137.75
13	1	1178.372064	10.20257942	3.136206922	0.313620692	1.76
13	2	1021.47963	9.996444719	1.386360415	0.138636042	220.33
13	3	963.7250433	9.912477785	4.782631452	0.478263145	103.89
13	4	854.901688	9.739614712	5.873316747	0.587331675	147.75
13	5	813.8852424	9.668681579	7.560146288	0.756014629	112.81
14	1	941.9701661	9.879537558	9.019638323	0.901963832	5.22
14	2	1094.132304	10.09557149	10.97571132	1.097571132	42.16
14	3	917.9166693	9.842219378	11.89939758	1.189939758	159.97
14	4	1015.245477	9.987612885	6.364535918	0.636453592	284.72
14	5	853.0461463	9.736479977	13.25958544	1.325958544	110.01
15	1	632.4756159	9.30486605	13.86456665	1.386456665	8.47
15	2	884.4240465	9.788594441	10.90319893	1.090319893	328.53
15	3	933.8888466	9.867107037	11.25775663	1.125775663	24.3
15	4	888.8384794	9.795777465	14.12649103	1.412649103	103.96
15	5	689.239158	9.428860858	11.99991032	1.199991032	210.1
16	1	898.9421998	9.812084546	12.77139349	1.277139349	7.42
16	2	902.23525	9.817359842	10.75417539	1.075417539	271.5
16	3	817.9307808	9.675834947	10.6248987	1.06248987	185.22
16	4	797.3969135	9.639154211	5.893343235	0.589334324	265.57
16	5	789.9903244	9.625691173	11.64651769	1.164651769	91.34
17	1	347.9827142	8.442871833	13.39048808	1.339048808	9.01
17	2	813.8374965	9.668596942	7.030500971	0.703050097	332.58
17	3	794.8023079	9.634452251	4.894928495	0.48949285	260.92
17	4	707.7004053	9.466994935	5.861913392	0.586191339	150
17	5	661.8641235	9.370391261	7.809567022	0.780956702	116.38
18	1	470.8603456	8.879155418	13.01080682	1.301080682	8.34
18	2	893.7905889	9.803793044	2.314773178	0.231477318	310.84
18	3	831.9581592	9.700367164	2.560589661	0.256058966	166.63
18	4	834.6071023	9.704953387	5.802595958	0.580259596	89.19
18	5	801.9132994	9.647302455	2.521795447	0.252179545	260.03
19	1	363.4760124	8.505716346	7.868078609	0.786807861	5.29
19	2	806.9212116	9.656284004	9.813266967	0.981326697	9.6
19	3	623.5058872	9.284259372	5.603825715	0.560382572	228.53
19	4	554.8088892	9.115847093	11.45249388	1.145249388	106.06
19	5	550.7425342	9.105234223	2.701657084	0.270165708	269.31
20	1	664.0073662	9.375055436	9.094975192	0.909497519	5.54
20	2	849.4847147	9.730444178	6.506144759	0.650614476	323.93
20	3	743.6187805	9.538419397	5.254212165	0.525421216	213.1
20	4	462.8305736	8.854340359	11.44450655	1.144450655	137.86
20	5	757.2167475	9.56456251	3.039678454	0.303967845	310.2
21	1	264.9874126	8.049780021	9.432762614	0.943276261	6.68
21	2	297.8813585	8.218594032	12.9669522	1.29669522	64.47
21	3	292.5186712	8.192384903	9.136710516	0.913671052	266.09
21	4	356.7476807	8.47876024	10.74865012	1.074865012	29.37
21	5	386.8534365	8.59564328	12.00542262	1.200542262	47.08
22	1	497.1581354	8.957561005	10.46957662	1.046957662	6.67
22	2	388.0477026	8.600090203	7.279277959	0.727927796	221.75
22	3	323.5949119	8.338045113	3.745982219	0.374598222	233.44
22	4	470.5463465	8.878193018	5.438065254	0.543806525	17.39
22	5	359.9904963	8.49181501	10.45478745	1.045478745	127.6
23	1	260.70435	8.026270845	14.82754392	1.482754392	10.47
23	2	277.9108905	8.11847856	7.33240997	0.733240997	277.01
23	3	339.3965622	8.406828142	7.897121601	0.78971216	11.08
23	4	467.3922348	8.868489955	6.135485917	0.613548592	339.11
23	5	418.0498064	8.707531025	10.2862184	1.02862184	111.2
24	1	411.2990291	8.684043856	8.446358855	0.844635886	5.56
24	2	540.7575699	9.078838146	5.955758048	0.595575805	327.75
24	3	394.2651556	8.623022403	7.002252131	0.700225213	167.07
24	4	319.6768644	8.320470527	7.107052296	0.71070523	178.02
24	5	379.987172	8.569806905	11.96972487	1.196972487	62.85
25	1	1051.107583	10.03769462	5.647780091	0.564778009	3.22
25	2	1051.810445	10.03865901	3.079622604	0.30796226	270.22
25	3	1051.770641	10.03860442	2.30681022	0.230681022	269.96
25	4	1051.335301	10.03800714	4.896915085	0.489691509	90.13
25	5	1051.322257	10.03798924	0.628411649	0.062841165	270
26	1	393.6488584	8.620765484	13.77711536	1.377711536	9.08
26	2	397.6330765	8.63529396	11.63721249	1.163721249	273.88
26	3	394.8226694	8.625061017	12.46715143	1.246715143	97.03
26	4	395.7485018	8.628440079	12.95748994	1.295748994	86.06
26	5	397.9113096	8.636303094	10.96619425	1.096619425	272.26
27	1	2097.650817	11.03455883	4.433359113	0.443335911	2.3
27	2	2097.09162	11.03417418	4.252323584	0.425232358	268.78
27	3	2096.962882	11.03408561	1.666707401	0.16667074	269.98
27	4	2097.095034	11.03417653	4.708681387	0.470868139	89.98
27	5	2096.853931	11.03401065	1.374121886	0.137412189	269.97
28	1	398.9078986	8.63991188	7.408111181	0.740811118	4.9
28	2	394.8893755	8.625304742	6.956154869	0.695615487	252.09
28	3	399.0169932	8.640306378	7.159609306	0.715960931	53.6
28	4	397.9944197	8.636604393	7.300353712	0.730035371	104.74
28	5	396.4127023	8.630859382	6.72833296	0.672833296	264.26
29	1	1965.19843	10.94045928	-5.892718614	-0.589271861	356.92
29	2	1995.44566	10.96249528	-8.842464471	-0.884246447	274.27
29	3	1902.387142	10.89359515	-7.679587178	-0.767958718	120.65
29	4	1978.30069	10.95004601	-7.237571119	-0.723757112	38.06
29	5	1933.137208	10.91672832	-8.820345375	-0.882034538	258.11
30	1	569.5754018	9.153743032	8.718153709	0.871815371	5.44
30	2	573.6939608	9.164137521	6.325300865	0.632530087	272.49
30	3	566.8955858	9.146939225	7.109763788	0.710976379	102.37
30	4	572.0392583	9.15997035	7.634473945	0.763447394	76.05
30	5	568.6861465	9.15148885	5.633575865	0.563357587	267.57
31	1	389.3846655	8.60505226	6.357088056	0.635708806	4.23
31	2	385.7555623	8.591543149	6.913888108	0.691388811	103.64
31	3	383.0485373	8.581383402	7.28408185	0.728408185	105.35
31	4	385.0236909	8.588803409	7.895572854	0.789557285	83.08
31	5	383.3774586	8.582621703	5.934443981	0.593444398	268.19
32	1	3777.545738	11.88323351	-13.03911629	-1.303911629	353.74
32	2	3784.93536	11.88605295	-14.01418138	-1.401418138	271.66
32	3	3762.278313	11.87739086	-17.78051694	-1.778051694	268.68
32	4	3777.657959	11.88327637	-13.07383292	-1.307383292	89.28
32	5	3776.222868	11.8827282	-18.31621755	-1.831621755	269.94
33	1	783.2404649	9.613311491	8.407951975	0.840795197	5
33	2	796.3068787	9.63718071	12.75828574	1.275828574	86.86
33	3	784.4762011	9.61558587	10.77033874	1.077033874	263.8
33	4	797.9399306	9.640136333	10.92144208	1.092144208	31.61
