Stimuli Number	Event Number	Weighted Average Frequency (Hz)	Log2Scaled WAFrequency	RMSPower (dB)	RMSPower (B)	Angle	Chunk Duration (s)
1	1	380.5895034	8.572091963	-30.32171886	-3.032171886	340.52	1.2
1	2	540.1719537	9.077274925	-32.08376124	-3.208376124	340.77	1.2
1	3	546.1012194	9.093024568	-30.30122595	-3.030122595	84.95	1.2
1	4	489.1157729	8.934032179	-30.60237543	-3.060237543	190.73	1.2
1	5	477.887813	8.900528166	-31.55249797	-3.155249797	250.58	1.2
2	1	610.6151369	9.254119544	-29.72254454	-2.972254454	342.19	1.2
2	2	568.8259709	9.151843525	-30.52670304	-3.052670304	218.18	1.2
2	3	638.9077229	9.319463768	-31.21940768	-3.121940768	337.55	1.2
2	4	517.8580508	9.016412887	-30.65543803	-3.065543803	169.46	1.2
2	5	451.3074717	8.817966853	-33.46963523	-3.346963523	234.81	1.2
3	1	864.0153511	9.754913135	-34.51340017	-3.451340017	340.52	1.2
3	2	1304.562557	10.34935041	-36.29524694	-3.629524694	343.31	1.2
3	3	1325.070108	10.37185298	-38.5655046	-3.85655046	275.66	1.2
3	4	1083.129747	10.08099036	-33.54573003	-3.354573003	120.09	1.2
3	5	1263.486963	10.30319506	-37.3646423	-3.73646423	300.19	1.2
4	1	992.4662478	9.954874229	-33.90405822	-3.390405822	341.19	1.2
4	2	860.9791503	9.749834491	-33.94095587	-3.394095587	181.03	1.2
4	3	1337.642541	10.38547692	-37.68627696	-3.768627696	329.49	1.2
4	4	1066.033972	10.0580377	-36.15595174	-3.615595174	154.95	1.2
4	5	1283.447332	10.32580838	-37.28870927	-3.728870927	337.07	1.2
5	1	813.5661148	9.668115782	-27.32390605	-2.732390605	344.22	1.2
5	2	809.9293544	9.661652265	-28.23342563	-2.823342563	265.94	1.2
5	3	787.0960043	9.620395806	-30.56054995	-3.056054995	259.95	1.2
5	4	683.6010419	9.417010786	-32.82429267	-3.282429267	228.06	1.2
5	5	875.8536307	9.774545982	-29.25424702	-2.925424702	44.96	1.147641723
6	1	872.8101826	9.769524123	-28.13794644	-2.813794644	343.93	1.2
6	2	885.5516771	9.790432689	-27.32085429	-2.732085429	75.65	1.2
6	3	875.202723	9.773473417	-27.90318404	-2.790318404	253.76	1.2
6	4	849.2216046	9.729997264	-37.36339518	-3.736339518	267.37	1.2
6	5	828.7935743	9.694869008	-28.53193697	-2.853193697	92.28	1.2
7	1	1011.177298	9.981820263	-30.73748407	-3.073748407	342.88	1.2
7	2	1138.716992	10.15319352	-32.76652916	-3.276652916	310.18	1.2
7	3	1397.907873	10.44905357	-30.28296742	-3.028296742	40.01	1.2
7	4	1065.34028	10.0570986	-24.72750832	-2.472750832	125.2	1.2
7	5	1141.199818	10.15633571	-33.34439656	-3.334439656	276.57	1.2
8	1	1008.428744	9.977893431	-28.11886135	-2.811886135	344.26	1.2
8	2	1117.620434	10.12621459	-28.20052263	-2.820052263	356.85	1.2
8	3	1280.351116	10.32232379	-28.63723566	-2.863723566	347.45	1.2
8	4	1361.645844	10.4111358	-31.29561105	-3.129561105	288.47	1.2
8	5	1167.958088	10.18977279	-28.04246119	-2.804246119	124.23	1.2
9	1	835.1265857	9.705851083	-26.30162644	-2.630162644	344.84	1.2
9	2	848.433042	9.728656997	-28.89714896	-2.889714896	275.02	1.2
9	3	1012.256783	9.983359595	-27.55937935	-2.755937935	27.71	1.2
9	4	1225.748359	10.25944711	-27.13118902	-2.713118902	8.82	1.2
9	5	865.6327859	9.757611332	-24.23120309	-2.423120309	149.98	1.2
10	1	859.7737798	9.747813303	-30.9502272	-3.09502272	342.38	1.2
10	2	905.9138253	9.823230011	-26.96510112	-2.696510112	79.28	1.2
10	3	1231.409907	10.26609537	-26.48795113	-2.648795113	6.15	1.2
10	4	967.1804462	9.917641267	-29.78442219	-2.978442219	223.41	1.2
10	5	868.466194	9.762325881	-24.36977613	-2.436977613	106.01	1.2
11	1	582.0800497	9.185073761	-25.9558453	-2.59558453	344.22	1.2
11	2	744.760658	9.540633054	-28.79561249	-2.879561249	321.39	1.2
11	3	650.0116661	9.344321801	-26.97401466	-2.697401466	137.14	1.2
11	4	589.3729328	9.203036995	-26.2553018	-2.62553018	153.04	1.2
11	5	632.5559368	9.305049253	-25.90855896	-2.590855896	18.77	1.2
12	1	665.9640467	9.379300483	-27.64554967	-2.764554967	343.58	1.2
12	2	875.1327103	9.773358002	-28.79133281	-2.879133281	343.79	1.2
12	3	698.4375602	9.447987335	-29.12729197	-2.912729197	185.9	1.2
12	4	868.6213993	9.762583685	-26.68074864	-2.668074864	37.87	1.2
12	5	736.1918153	9.5239379	-28.16321984	-2.816321984	211.85	1.2
13	1	1178.372064	10.20257942	-30.60510074	-3.060510074	343.3	1.2
13	2	1021.47963	9.996444719	-30.93035007	-3.093035007	188.97	1.2
13	3	963.7250433	9.912477785	-31.07896711	-3.107896711	190.04	1.2
13	4	854.901688	9.739614712	-30.24315158	-3.024315158	154.2	1.2
13	5	813.8852424	9.668681579	-30.42998835	-3.042998835	194.76	1.2
14	1	941.9701661	9.879537558	-27.71044511	-2.771044511	344.33	1.2
14	2	1094.132304	10.09557149	-25.64522572	-2.564522572	43.71	1.2
14	3	917.9166693	9.842219378	-26.03800443	-2.603800443	188.81	1.2
14	4	1015.245477	9.987612885	-25.92355743	-2.592355743	4.5	1.2
14	5	853.0461463	9.736479977	-24.25310736	-2.425310736	146.37	1.2
15	1	632.4756159	9.30486605	-26.90467585	-2.690467585	343.87	1.2
15	2	884.4240465	9.788594441	-27.46843055	-2.746843055	353.35	1.2
15	3	933.8888466	9.867107037	-25.70655478	-2.570655478	65.98	1.2
15	4	888.8384794	9.795777465	-25.70229269	-2.570229269	179.66	1.2
15	5	689.239158	9.428860858	-26.28763637	-2.628763637	189.06	1.2
16	1	898.9421998	9.812084546	-26.75452651	-2.675452651	344.75	1.2
16	2	902.23525	9.817359842	-27.18597003	-2.718597003	276.97	1.2
16	3	817.9307808	9.675834947	-28.34651229	-2.834651229	219.35	1.2
16	4	797.3969135	9.639154211	-27.94964908	-2.794964908	132.75	1.2
16	5	789.9903244	9.625691173	-26.586325	-2.6586325	95.64	1.2
17	1	347.9827142	8.442871833	-23.71564632	-2.371564632	344.31	1.2
17	2	813.8374965	9.668596942	-28.40650242	-2.840650242	339.06	1.2
17	3	794.8023079	9.634452251	-29.83941327	-2.983941327	256.6	1.2
17	4	707.7004053	9.466994935	-28.44719083	-2.844719083	140.26	1.2
17	5	661.8641235	9.370391261	-29.34796467	-2.934796467	223	1.2
18	1	470.8603456	8.879155418	-26.40823899	-2.640823899	343.44	1.2
18	2	893.7905889	9.803793044	-30.3805962	-3.03805962	336.75	1.2
18	3	831.9581592	9.700367164	-33.14719041	-3.314719041	249.5	1.2
