Stimuli Number	Event Number	Dominant_Frequency_Hz	Log2Scaled_DomFrequency	DomPower_dB	DomPower_B	Angle
1		1		391.6666667		8.613482541		-38.89466248	-3.889466248	335.7
1	2	524.1666667	9.033881801	-42.23309499	-4.223309499	321.55
1	3	440	8.781359714	-39.77009078	-3.977009078	135.71
1	4	524.1666667	9.033881801	-39.14558063	-3.914558063	13.89
1	5	524.1666667	9.033881801	-40.63734377	-4.063734377	270
2	1	261.6666667	8.031586343	-39.01803971	-3.901803971	334.09
2	2	588.3333333	9.200489967	-40.50037077	-4.050037077	352.77
2	3	700	9.451211112	-42.42908285	-4.242908285	322.43
2	4	174.1666667	7.444324726	-42.08687708	-4.208687708	179.02
2	5	294.1666667	8.200489967	-39.98706777	-3.998706777	15.52
3	1	588.3333333	9.200489967	-42.70990363	-4.270990363	335.1
3	2	1402.5	10.45378506	-44.43160225	-4.443160225	352.18
3	3	1769.166667	10.78885425	-52.46994201	-5.246994201	292.63
3	4	1176.666667	10.20048997	-45.62728493	-4.562728493	130.69
3	5	1402.5	10.45378506	-48.75186763	-4.875186763	309.03
4	1	588.3333333	9.200489967	-43.75734337	-4.375734337	334.56
4	2	741.6666667	9.53462712	-42.06333905	-4.206333905	26.88
4	3	1325.833333	10.37268371	-47.88621365	-4.788621365	325.21
4	4	1178.333333	10.202532	-43.19073902	-4.319073902	109.92
4	5	1247.5	10.2848241	-49.60703529	-4.960703529	277.31
5	1	882.5	9.785452468	-34.44694268	-3.444694268	340.61
5	2	880.8333333	9.782725256	-37.75258651	-3.775258651	269.53
5	3	881.6666667	9.784089506	-41.13778016	-4.113778016	270.23
5	4	588.3333333	9.200489967	-40.92655757	-4.092655757	177.93
5	5	881.8083025	9.78432125	-34.77517844	-3.477517844	46.5
6	1	882.5	9.785452468	-34.45129247	-3.445129247	340.6
6	2	935	9.868822555	-34.27050595	-3.427050595	12.24
6	3	934.1666667	9.867536157	-34.3583085	-3.43583085	261.66
6	4	1179.166667	10.20355193	-50.85933845	-5.085933845	281.51
6	5	881.6666667	9.784089506	-35.03250946	-3.503250946	104.84
7	1	785	9.616548844	-41.05533042	-4.105533042	336.88
7	2	785	9.616548844	-40.80911403	-4.080911403	90
7	3	1872.5	10.87075	-40.88335833	-4.088335833	359.66
